,Filename,instance_score,is_outlier
22,ISIC_0025319.jpg,0.022877866,1
26,ISIC_0025539.jpg,0.024684459,1
58,ISIC_0027294.jpg,0.023151292,1
152,ISIC_0032238.jpg,0.022516226,1
177,ISIC_0053914.jpg,0.027842114,1
211,ISIC_0055870.jpg,0.030372387,1
215,ISIC_0055956.jpg,0.02874183,1
221,ISIC_0056493.jpg,0.023089359,1
223,ISIC_0056611.jpg,0.036343016,1
224,ISIC_0056621.jpg,0.033172503,1
238,ISIC_0057224.jpg,0.022589043,1
269,ISIC_0058622.jpg,0.028462932,1
280,ISIC_0059102.jpg,0.024756292,1
284,ISIC_0059403.jpg,0.026159352,1
317,ISIC_0061046.jpg,0.034625094,1
325,ISIC_0061243.jpg,0.025677225,1
334,ISIC_0061896.jpg,0.023964847,1
351,ISIC_0062951.jpg,0.028771281,1
386,ISIC_0064977.jpg,0.02449358,1
402,ISIC_0066263.jpg,0.029413166,1
423,ISIC_0067626.jpg,0.028432595,1
446,ISIC_0068498.jpg,0.027148267,1
456,ISIC_0068956.jpg,0.033317246,1
457,ISIC_0068997.jpg,0.022401704,1
495,ISIC_0071164.jpg,0.046939865,1
501,ISIC_0071631.jpg,0.022461379,1
517,ISIC_0072499.jpg,0.026077328,1
